s,h,q_eq,f1,f2,regime
-2.0,-2.0,0.4,-2.9999999999999893,-36.0,unstable
-2.0,-1.95,0.39795918367346933,-3.2532347504621035,-33.44,unstable
-2.0,-1.9,0.3958333333333333,-3.553719008264475,-30.959999999999994,unstable
-2.0,-1.85,0.39361702127659576,-3.9160839160838834,-28.56000000000001,unstable
-2.0,-1.8,0.391304347826087,-4.361702127659536,-26.240000000000006,unstable
-2.0,-1.75,0.3888888888888889,-4.9230769230769535,-24.0,unstable
-2.0,-1.7,0.3863636363636363,-5.652173913043366,-21.84,unstable
-2.0,-1.65,0.38372093023255816,-6.637554585152889,-19.759999999999998,unstable
-2.0,-1.6,0.38095238095238093,-8.043478260869664,-17.760000000000005,unstable
-2.0,-1.55,0.37804878048780494,-10.212765957446809,-15.840000000000003,unstable
-2.0,-1.5,0.375,-14.0,-14.0,unstable
-2.0,-1.45,0.3717948717948718,-22.295081967209104,-12.239999999999998,unstable
-2.0,-1.4,0.3684210526315789,-55.00000000002828,-10.559999999999997,unstable
-2.0,-1.35,0.36486486486486486,116.3636363638305,-8.960000000000003,unstable
-2.0,-1.3,0.3611111111111111,28.18181818182028,-7.440000000000001,unstable
-2.0,-1.25,0.35714285714285715,16.000000000000405,-6.0,unstable
-2.0,-1.2,0.35294117647058826,11.153846153846047,-4.639999999999999,unstable
-2.0,-1.15,0.34848484848484845,8.549618320610788,-3.3599999999999977,unstable
-2.0,-1.1,0.34375,6.923076923076904,-2.160000000000002,unstable
-2.0,-1.05,0.33870967741935487,5.8100558659218215,-1.0400000000000027,unstable
-2.0,-1.0,0.3333333333333333,4.999999999999978,-0.0,unstable
-2.0,-0.95,0.3275862068965517,4.383561643835614,0.9600000000000009,unstable
-2.0,-0.9,0.32142857142857145,3.8983050847457634,1.839999999999999,unstable
-2.0,-0.85,0.31481481481481477,3.505976095617531,2.6400000000000006,unstable
-2.0,-0.8,0.3076923076923077,3.181818181818179,3.3599999999999994,unstable
-2.0,-0.75,0.3,2.9090909090909056,4.0,unstable
-2.0,-0.7,0.2916666666666667,2.676056338028167,4.5600000000000005,unstable
-2.0,-0.65,0.28260869565217395,2.4742268041237114,5.039999999999999,unstable
-2.0,-0.6,0.2727272727272727,2.297297297297296,5.44,unstable
-2.0,-0.55,0.2619047619047619,2.14046822742475,5.76,unstable
-2.0,-0.5,0.25,2.0,6.0,unstable
-2.0,-0.45,0.2368421052631579,1.8729096989966554,6.16,unstable
-2.0,-0.4,0.22222222222222224,1.7567567567567575,6.239999999999999,unstable
-2.0,-0.35,0.20588235294117646,1.6494845360824741,6.24,unstable
-2.0,-0.3,0.18749999999999997,1.5492957746478873,6.16,unstable
-2.0,-0.25,0.16666666666666666,1.4545454545454546,6.0,unstable
-2.0,-0.2,0.14285714285714288,1.3636363636363638,5.76,unstable
-2.0,-0.15,0.11538461538461538,1.2749003984063745,5.4399999999999995,unstable
-2.0,-0.1,0.08333333333333334,1.1864406779661016,5.040000000000001,unstable
-2.0,-0.05,0.045454545454545456,1.0958904109589043,4.5600000000000005,unstable
-2.0,0.0,1.0,1.0,4.0,fixation
-2.0,0.05,1.0,1.1,3.36,fixation
-2.0,0.1,1.0,1.2,2.64,fixation
-2.0,0.15,1.0,1.3,1.8399999999999999,fixation
-2.0,0.2,1.0,1.4,0.9600000000000004,fixation
-2.0,0.25,1.0,1.5,-0.0,fixation
-2.0,0.3,1.0,1.6,-1.04,fixation
-2.0,0.35,1.0,1.7,-2.1599999999999997,fixation
-2.0,0.4,1.0,1.8,-3.3600000000000008,fixation
-2.0,0.45,1.0,1.9,-4.64,fixation
-2.0,0.5,1.0,2.0,-6.0,fixation
-2.0,0.55,1.0,2.1,-7.440000000000002,fixation
-2.0,0.6,1.0,2.2,-8.96,fixation
-2.0,0.65,1.0,2.3,-10.559999999999999,fixation
-2.0,0.7,1.0,2.4,-12.239999999999998,fixation
-2.0,0.75,1.0,2.5,-14.0,fixation
-2.0,0.8,1.0,2.6,-15.84,fixation
-2.0,0.85,1.0,2.7,-17.759999999999998,fixation
-2.0,0.9,1.0,2.8,-19.76,fixation
-2.0,0.95,1.0,2.9,-21.84,fixation
-2.0,1.0,1.0,3.0,-24.0,fixation
-2.0,1.05,0.9545454545454545,0.9682299546142203,-26.240000000000002,stable
-2.0,1.1,0.9166666666666666,0.9392265193370167,-28.560000000000002,stable
-2.0,1.15,0.8846153846153847,0.9125475285171106,-30.959999999999994,stable
-2.0,1.2,0.8571428571428572,0.8878504672897196,-33.44,stable
-2.0,1.25,0.8333333333333334,0.8648648648648649,-36.0,stable
-2.0,1.3,0.8125,0.8433734939759039,-38.64000000000001,stable
-2.0,1.35,0.7941176470588235,0.823199251637044,-41.36000000000001,stable
-2.0,1.4,0.7777777777777778,0.8041958041958043,-44.16,stable
-2.0,1.45,0.7631578947368421,0.7862407862407865,-47.03999999999999,stable
-2.0,1.5,0.75,0.7692307692307693,-50.0,stable
-2.0,1.55,0.7380952380952381,0.7530774800868935,-53.04,stable
-2.0,1.6,0.7272727272727273,0.7377049180327869,-56.160000000000004,stable
-2.0,1.65,0.717391304347826,0.7230471271788252,-59.36,stable
-2.0,1.7,0.7083333333333334,0.7090464547677263,-62.64,stable
-2.0,1.75,0.7,0.6956521739130435,-66.0,stable
-2.0,1.8,0.6923076923076923,0.6828193832599121,-69.44,stable
-2.0,1.85,0.6851851851851851,0.6705081194342588,-72.96000000000001,stable
-2.0,1.9,0.6785714285714286,0.658682634730539,-76.55999999999999,stable
-2.0,1.95,0.6724137931034483,0.6473108043788672,-80.24,stable
-2.0,2.0,0.6666666666666666,0.6363636363636361,-84.0,stable
-1.95,-2.0,0.39999999999999997,-3.17857142857144,-33.54,unstable
-1.95,-1.95,0.3979591836734694,-3.4604105571847663,-31.121024999999992,unstable
-1.95,-1.9,0.3958333333333333,-3.797722705961153,-28.77809999999999,unstable
-1.95,-1.85,0.39361702127659576,-4.20872648977261,-26.511225000000003,unstable
-1.95,-1.8,0.391304347826087,-4.720605355063996,-24.3204,unstable
-1.95,-1.75,0.3888888888888889,-5.3757961783440065,-22.205624999999998,unstable
-1.95,-1.7,0.38636363636363635,-6.244435451234337,-20.1669,unstable
-1.95,-1.65,0.3837209302325581,-7.4513690992442925,-18.204224999999997,unstable
-1.95,-1.6,0.380952380952381,-9.242424242424102,-16.317600000000002,unstable
-1.95,-1.55,0.3780487804878049,-12.177815772601091,-14.507025,unstable
-1.95,-1.5,0.375,-17.87096774193628,-12.772499999999997,unstable
-1.95,-1.45,0.37179487179487175,-33.65853658537203,-11.114024999999994,unstable
-1.95,-1.4,0.3684210526315789,-296.8181818209392,-9.531599999999997,unstable
-1.95,-1.35,0.36486486486486486,43.33618477331857,-8.025225000000002,unstable
-1.95,-1.3,0.3611111111111111,20.147783251233218,-6.594900000000003,unstable
-1.95,-1.25,0.35714285714285715,13.103448275862025,-5.240625,unstable
-1.95,-1.2,0.3529411764705882,9.695945945945809,-3.9623999999999984,unstable
-1.95,-1.15,0.34848484848484845,7.685907436297504,-2.760224999999998,unstable
-1.95,-1.1,0.34375,6.359309934562743,-1.6341,unstable
-1.95,-1.05,0.3387096774193548,5.41770819628995,-0.5840250000000001,unstable
-1.95,-1.0,0.33333333333333337,4.714285714285712,0.39000000000000035,unstable
-1.95,-0.95,0.3275862068965517,4.168402587435595,1.2879750000000014,unstable
-1.95,-0.9,0.3214285714285714,3.732077017615735,2.1099000000000006,unstable
-1.95,-0.85,0.3148148148148148,3.374963694452508,2.8557750000000004,unstable
-1.95,-0.8,0.3076923076923077,3.0769230769230766,3.5255999999999994,unstable
-1.95,-0.75,0.3,2.824053452115813,4.119375000000001,unstable
-1.95,-0.7,0.2916666666666667,2.606438213914849,4.6371,unstable
-1.95,-0.65,0.2826086956521739,2.4168007451943447,5.078774999999999,unstable
-1.95,-0.6,0.2727272727272727,2.2496662216288374,5.444400000000001,unstable
-1.95,-0.55,0.2619047619047619,2.1008194685870376,5.733975,unstable
-1.95,-0.5,0.25,1.9669421487603307,5.9475,unstable
-1.95,-0.45,0.23684210526315788,1.8453616809235116,6.084974999999999,unstable
-1.95,-0.4,0.22222222222222224,1.7338709677419357,6.146399999999999,unstable
-1.95,-0.35,0.20588235294117646,1.630592865086834,6.131775,unstable
-1.95,-0.3,0.18749999999999997,1.5338715338715339,6.041099999999999,unstable
-1.95,-0.25,0.16666666666666669,1.4421768707482991,5.874375000000001,unstable
-1.95,-0.2,0.14285714285714285,1.3540090771558244,5.6316,unstable
-1.95,-0.15,0.11538461538461538,1.2677878395860285,5.312774999999999,unstable
-1.95,-0.1,0.08333333333333334,1.181702668360864,4.9179,unstable
-1.95,-0.05,0.045454545454545456,1.0934824791690445,4.446975,unstable
-1.95,0.0,1.0,1.0,3.9,fixation
-1.95,0.05,1.0,1.0975,3.2769749999999997,fixation
-1.95,0.1,1.0,1.195,2.5779,fixation
-1.95,0.15,1.0,1.2925,1.802775,fixation
-1.95,0.2,1.0,1.3900000000000001,0.9516,fixation
-1.95,0.25,1.0,1.4875,0.024374999999999914,fixation
-1.95,0.3,1.0,1.585,-0.9789,fixation
